,Player,Team,Annual Salary
365,"Beno Udrih, PG",Memphis Grizzlies,"$1,471,382"
366,"Nikola Jokic, C",Detroit Pistons,"$1,471,382"
367,"Donald Sloan, G",New Orleans Pelicans,"$1,471,382"
368,"Josh Childress, F",New Orleans Pelicans,"$1,471,382"
369,"Salah Mejri, C",New Orleans Pelicans,"$1,471,382"
370,"Maalik Wayns, PG",Atlanta Hawks,"$1,471,382"
371,"Jarell Martin, F",Portland Trail Blazers,"$1,471,382"
372,"Willie Reed, C",Memphis Grizzlies,"$1,471,382"
373,"Tony Allen, SG",Denver Nuggets,"$1,471,382"
374,"Ian Clark, G",Los Angeles Lakers,"$1,471,382"
375,"Perry Jones, SF",Utah Jazz,"$1,471,382"
376,"Jeremy Evans, F",San Antonio Spurs,"$1,471,382"
377,"Caleb Swanigan, F",Los Angeles Lakers,"$1,465,920"
378,"Jordan Adams, SG",Philadelphia 76ers,"$1,465,080"
379,"Richard Jefferson, F",New Orleans Pelicans,"$1,454,756"
380,"Kyle Kuzma, SF",Atlanta Hawks,"$1,423,560"
381,"Tony Bradley, C",Orlando Magic,"$1,414,920"
382,"Derrick White, PG",Atlanta Hawks,"$1,404,600"
383,"Josh Hart, SG",Atlanta Hawks,"$1,394,520"
384,"Timothe Luwawu-Cabarrot, SG",Charlotte Hornets,"$1,386,600"
385,"Josh Smith, PF",New York Knicks,"$1,379,940"
386,"Tyler Dorsey, G",Orlando Magic,"$1,378,242"
387,"Khem Birch, C",Milwaukee Bucks,"$1,378,242"
388,"Antonius Cleveland, G",Golden State Warriors,"$1,378,242"
389,"Jaylen Morris, F",Toronto Raptors,"$1,378,242"
390,"Dwayne Bacon, SG",Indiana Pacers,"$1,378,242"
391,"Damyean Dotson, SG",Orlando Magic,"$1,378,242"
392,"Rodney Purvis, G",Indiana Pacers,"$1,378,242"
393,"Sterling Brown, SF",New York Knicks,"$1,378,242"
394,"Jordan Bell, F",Philadelphia 76ers,"$1,378,242"
395,"Alfonzo McKinnie, F",Memphis Grizzlies,"$1,378,242"
396,"Ike Anigbogu, C",Golden State Warriors,"$1,378,242"
397,"Wes Iwundu, SF",Toronto Raptors,"$1,378,242"
398,"Alex Poythress, F",Washington Wizards,"$1,378,242"
399,"Guillermo Hernangomez, C",Washington Wizards,"$1,350,000"
400,"Sasha Kaun, C",Oklahoma City Thunder,"$1,333,240"
401,"Brice Johnson, PF",San Antonio Spurs,"$1,331,160"
402,"Patrick McCaw, SF",Phoenix Suns,"$1,312,611"
403,"Kyle Wiltjer, F",Golden State Warriors,"$1,312,611"
404,"Daniel Ochefu, PF",Houston Rockets,"$1,312,611"
405,"Carrick Felix, SG",Phoenix Suns,"$1,312,611"
406,"Semaj Christon, PG",Orlando Magic,"$1,312,611"
407,"Dejounte Murray, PG",Sacramento Kings,"$1,312,611"
408,"Tyler Ulis, G",Portland Trail Blazers,"$1,312,611"
409,"Damian Jones, C",Miami Heat,"$1,312,611"
410,"Chinanu Onuaku, C",Los Angeles Lakers,"$1,312,611"
411,"Chasson Randle, G",Los Angeles Lakers,"$1,312,611"
412,"Patricio Garino, SG",Dallas Mavericks,"$1,312,611"
413,"Skal Labissiere, F",Indiana Pacers,"$1,312,611"
414,"Jake Layman, SF",Memphis Grizzlies,"$1,312,611"
415,"AJ Hammons, C",Memphis Grizzlies,"$1,312,611"
416,"Stephen Zimmerman, C",Golden State Warriors,"$1,312,611"
417,"Ivica Zubac, C",New Orleans Pelicans,"$1,312,611"
418,"Yogi Ferrell, PG",Brooklyn Nets,"$1,312,611"
419,"DeQuan Jones, SF",Detroit Pistons,"$1,312,611"
420,"Deyonta Davis, F",San Antonio Spurs,"$1,312,611"
421,"Shawn Long, C",Dallas Mavericks,"$1,312,611"
422,"Andrew Harrison, G",San Antonio Spurs,"$1,312,611"
423,"Michael Gbinije, SG",Cleveland Cavaliers,"$1,312,611"
